AHGP,"Alliance Holdings GP, L.P.",28.72,1719265360,n/a,n/a,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp
AHPA,Avista Healthcare Public Acquisition Corp.,9.8,379750000,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/ahpa
AHPAU,Avista Healthcare Public Acquisition Corp.,10.26,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/ahpau
AHPAW,Avista Healthcare Public Acquisition Corp.,0.3601,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/ahpaw
AHPI,"Allied Healthcare Products, Inc.",1.85,7425043.45,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi
AIA,iShares Asia 50 ETF,56.19,370854000,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aia
AIMC,Altra Industrial Motion Corp.,41.8,1225134926,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AIMT,"Aimmune Therapeutics, Inc.",17.26,868914553.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt
AINV,Apollo Investment Corporation,6.43,1412636625,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ainv
AIQ,"Alliance HealthCare Services, Inc.",13.15,142431595,n/a,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq
AIRG,"Airgain, Inc.",13.79,131284799.1,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/airg
AIRR,First Trust RBA American Industrial Renaissance ETF,23.18,191235046.4,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/airr
AIRT,"Air T, Inc.",18.5378,37868813.92,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt
AKAM,"Akamai Technologies, Inc.",47.62,8232230356,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam
AKAO,"Achaogen, Inc.",23.65,857572650,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
AKBA,"Akebia Therapeutics, Inc.",14.24,553412509.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba
AKER,Akers Biosciences Inc,1.45,12897858.75,n/a,n/a,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker
AKRX,"Akorn, Inc.",33.18,4132743792,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx
AKTS,"Akoustis Technologies, Inc.",9.95,184932122.9,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/akts
AKTX,Akari Therapeutics Plc,6.51,76351083.27,11728277,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx
ALBO,"Albireo Pharma, Inc.",20.77,130698215.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/albo
ALCO,"Alico, Inc.",30.15,249931741.5,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco
ALDR,"Alder BioPharmaceuticals, Inc.",16.9,851936740.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",4.6,69606648,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx
ALGN,"Align Technology, Inc.",138.65,11137940291,n/a,n/a,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn
ALGT,Allegiant Travel Company,144.25,2399864603,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt
ALIM,"Alimera Sciences, Inc.",1.46,94756388.56,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",3.26,112713329.7,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,58.25,8923346683,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks
ALLT,Allot Communications Ltd.,4.87,161267030.6,n/a,n/a,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt
ALNY,"Alnylam Pharmaceuticals, Inc.",69.97,6030727734,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny
